"Currency","Acct_Buy","Cash_Buy","Acct_Sell","Cash_Sell","Admin_Mid","BOC_Mid","Time","Date"
"GBP",865.38,838.43,871.45,872.75,859.45,859.45,2017-09-13 00:00:05,2017-09-13
"GBP",865.38,838.43,871.45,872.75,859.45,859.45,2017-09-13 00:00:05,2017-09-13
"GBP",865.38,838.43,871.45,872.75,859.45,859.45,2017-09-13 00:00:05,2017-09-13
"GBP",865.38,838.43,871.45,872.75,859.45,859.45,2017-09-13 00:00:05,2017-09-13
"HKD",83.52,82.85,83.84,83.84,83.55,83.55,2017-09-13 00:00:05,2017-09-13
"HKD",83.52,82.85,83.84,83.84,83.55,83.55,2017-09-13 00:00:05,2017-09-13
"HKD",83.52,82.85,83.84,83.84,83.55,83.55,2017-09-13 00:00:05,2017-09-13
"HKD",83.52,82.85,83.84,83.84,83.55,83.55,2017-09-13 00:00:05,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 00:00:05,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 00:00:05,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 00:00:05,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 00:00:05,2017-09-13
"JPY",5.9235,5.739,5.9651,5.9651,5.9661,5.9661,2017-09-13 00:00:05,2017-09-13
"JPY",5.9235,5.739,5.9651,5.9651,5.9661,5.9661,2017-09-13 00:00:05,2017-09-13
"JPY",5.9235,5.739,5.9651,5.9651,5.9661,5.9661,2017-09-13 00:00:05,2017-09-13
"JPY",5.9235,5.739,5.9651,5.9651,5.9661,5.9661,2017-09-13 00:00:05,2017-09-13
"EUR",779.81,755.53,785.29,785.29,779.92,779.92,2017-09-13 00:00:05,2017-09-13
"EUR",779.81,755.53,785.29,785.29,779.92,779.92,2017-09-13 00:00:05,2017-09-13
"EUR",779.81,755.53,785.29,785.29,779.92,779.92,2017-09-13 00:00:05,2017-09-13
"EUR",779.81,755.53,785.29,785.29,779.92,779.92,2017-09-13 00:00:05,2017-09-13
"GBP",865.38,838.43,871.45,872.75,859.45,859.45,2017-09-13 05:30:00,2017-09-13
"GBP",865.38,838.43,871.45,872.75,859.45,859.45,2017-09-13 05:30:00,2017-09-13
"GBP",865.38,838.43,871.45,872.75,859.45,859.45,2017-09-13 05:30:00,2017-09-13
"HKD",83.52,82.85,83.84,83.84,83.55,83.55,2017-09-13 05:30:00,2017-09-13
"HKD",83.52,82.85,83.84,83.84,83.55,83.55,2017-09-13 05:30:00,2017-09-13
"HKD",83.52,82.85,83.84,83.84,83.55,83.55,2017-09-13 05:30:00,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 05:30:00,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 05:30:00,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 05:30:00,2017-09-13
"JPY",5.9235,5.739,5.9651,5.9651,5.9661,5.9661,2017-09-13 05:30:00,2017-09-13
"JPY",5.9235,5.739,5.9651,5.9651,5.9661,5.9661,2017-09-13 05:30:00,2017-09-13
"JPY",5.9235,5.739,5.9651,5.9651,5.9661,5.9661,2017-09-13 05:30:00,2017-09-13
"EUR",779.81,755.53,785.29,785.29,779.92,779.92,2017-09-13 05:30:00,2017-09-13
"EUR",779.81,755.53,785.29,785.29,779.92,779.92,2017-09-13 05:30:00,2017-09-13
"EUR",779.81,755.53,785.29,785.29,779.92,779.92,2017-09-13 05:30:00,2017-09-13
"GBP",865.89,838.93,871.97,873.28,859.45,859.45,2017-09-13 07:36:06,2017-09-13
"HKD",83.51,82.84,83.83,83.83,83.55,83.55,2017-09-13 07:36:06,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 07:36:06,2017-09-13
"JPY",5.91,5.726,5.9515,5.9515,5.9661,5.9661,2017-09-13 07:36:06,2017-09-13
"EUR",779.81,755.53,785.29,785.29,779.92,779.92,2017-09-13 07:36:06,2017-09-13
"GBP",865.89,838.93,871.97,873.28,859.45,859.45,2017-09-13 07:56:56,2017-09-13
"HKD",83.49,82.82,83.81,83.81,83.55,83.55,2017-09-13 07:56:56,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 07:56:56,2017-09-13
"JPY",5.9116,5.7275,5.9531,5.9531,5.9661,5.9661,2017-09-13 07:56:56,2017-09-13
"EUR",780.14,755.85,785.62,785.62,779.92,779.92,2017-09-13 07:56:56,2017-09-13
"GBP",865.96,839,872.04,873.35,859.45,859.45,2017-09-13 08:16:16,2017-09-13
"HKD",83.49,82.82,83.81,83.81,83.55,83.55,2017-09-13 08:16:16,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 08:16:16,2017-09-13
"JPY",5.9165,5.7322,5.958,5.958,5.9661,5.9661,2017-09-13 08:16:16,2017-09-13
"EUR",780.07,755.78,785.55,785.55,779.92,779.92,2017-09-13 08:16:16,2017-09-13
"GBP",865.89,838.93,871.97,873.28,859.45,859.45,2017-09-13 08:48:51,2017-09-13
"HKD",83.5,82.83,83.82,83.82,83.55,83.55,2017-09-13 08:48:51,2017-09-13
"USD",652.51,647.15,655.13,655.13,652.77,652.77,2017-09-13 08:48:51,2017-09-13
"JPY",5.9165,5.7322,5.958,5.958,5.9661,5.9661,2017-09-13 08:48:51,2017-09-13
"EUR",780.21,755.91,785.69,785.69,779.92,779.92,2017-09-13 08:48:51,2017-09-13
"GBP",866.36,839.38,872.45,873.75,859.45,859.45,2017-09-13 09:20:47,2017-09-13
"HKD",83.52,82.85,83.84,83.84,83.55,83.55,2017-09-13 09:20:47,2017-09-13
"USD",652.71,647.35,655.33,655.33,652.77,652.77,2017-09-13 09:20:47,2017-09-13
"JPY",5.9177,5.7334,5.9592,5.9592,5.9661,5.9661,2017-09-13 09:20:47,2017-09-13
"EUR",780.44,756.14,785.92,785.92,779.92,779.92,2017-09-13 09:20:47,2017-09-13
"GBP",866.62,839.63,872.71,874.01,859.45,859.45,2017-09-13 09:20:52,2017-09-13
"HKD",83.55,82.88,83.87,83.87,83.55,83.55,2017-09-13 09:20:52,2017-09-13
"USD",652.91,647.55,655.53,655.53,652.77,652.77,2017-09-13 09:20:52,2017-09-13
"JPY",5.919,5.7347,5.9605,5.9605,5.9661,5.9661,2017-09-13 09:20:52,2017-09-13
"EUR",780.62,756.31,786.1,786.1,779.92,779.92,2017-09-13 09:20:52,2017-09-13
"GBP",866.89,839.89,872.98,874.28,859.45,859.45,2017-09-13 09:20:57,2017-09-13
"HKD",83.57,82.9,83.89,83.89,83.55,83.55,2017-09-13 09:20:57,2017-09-13
"USD",653.11,647.75,655.73,655.73,652.77,652.77,2017-09-13 09:20:57,2017-09-13
"JPY",5.9208,5.7364,5.9624,5.9624,5.9661,5.9661,2017-09-13 09:20:57,2017-09-13
"EUR",780.92,756.6,786.4,786.4,779.92,779.92,2017-09-13 09:20:57,2017-09-13
"GBP",867.42,840.41,873.51,874.82,859.45,859.45,2017-09-13 09:21:03,2017-09-13
"HKD",83.63,82.96,83.95,83.95,83.55,83.55,2017-09-13 09:21:03,2017-09-13
"USD",653.51,648.14,656.13,656.13,652.77,652.77,2017-09-13 09:21:03,2017-09-13
"JPY",5.925,5.7404,5.9666,5.9666,5.9661,5.9661,2017-09-13 09:21:03,2017-09-13
"EUR",781.4,757.06,786.89,786.89,779.92,779.92,2017-09-13 09:21:03,2017-09-13
