PLAYERS	HEIGHT
YAO MING	7-5
RALPH SAMPSON	7-4
RIK SMITS	7-4
MARK EATON	7-3
ZYDRUNAS ILGAUSKAS	7-3
KAREEM ABDUL-JABBAR	7-2
JAMES DONALDSON	7-2
ARTIS GILMORE	7-2
ROY HIBBERT	7-2
DIKEMBE MUTOMBO	7-2
BILL CARTWRIGHT	7-1
WILT CHAMBERLAIN	7-1
TYSON CHANDLER	7-1
MARC GASOL	7-1
SHAQUILLE O' NEAL	7-1
DAVID ROBINSON	7-1
JOE BARRY CARROLL	7-0
ANDREW BYNUM	7-0
BRAD DAUGHERTY	7-0
KEVIN DUCKWORTH	7-0
WALTER DUKES	7-0
TIM DUNCAN, 7-0
PATRICK EWING	7-0
PAU GASOL	7-0
CHRIS KAMAN	7-0
BROOK LOPEZ	7-0
HAKEEM OLAJUWON	7-0
ROBERT PARISH	7-0
KEVIN WILLIS	7-0
LAMARCUS ALDRIDGE	6-11
VIN BAKER	6-11
WALT BELLAMY	6-11
DeMARCUS COUSINS	6-11
DALE DAVIS	6-11
VLADE DIVAC	6-11
RAY FELIX	6-11
KEVIN GARNETT	6-11
DWIGHT HOWARD	6-11
CHRIS LAETTNER	6-11
BILL LAIMBEER	6-11
BOB LANIER	6-11
JAMAAL MAGLOIRE	6-11
BRAD MILLER	6-11
JOAKIM NOAH	6-11
DIRK NOWITZKI	6-11
JERMAINE O'NEAL	6-11
MEHMET OKUR	6-11
JACK SIKMA	6-11
NATE THURMOND	6-11
BILL WALTON	6-11
CHRIS BOSH	6-10
DERRICK COLEMAN	6-10
ANTHONY DAVIS	6-10
CHRIS GATLING	6-10
HORACE GRANT	6-10
BLAKE GRIFFIN	6-10
TOM GUGLIOTTA	6-10
AL HORFORD	6-10
DARRALL IMHOFF	6-10
STEVE JOHNSON	6-10
SHAWN KEMP	6-10
SAM LACEY	6-10
CLYDE LEE	6-10
RASHARD LEWIS	6-10
KEVIN LOVE	6-10
MOSES MALONE	6-10
DANNY MANNING	6-10
KEVIN McHALE	6-10
GEORGE MIKAN	6-10
ALONZO MOURNING	6-10
LARRY NANCE	6-10
THEO RATLIFF	6-10
CLIFFORD ROBINSON	6-10
JEFF RULAND	6-10
AMARE STOUDEMIRE	6-10
RASHEED WALLACE	6-10
SHAREEF ABDUR-RAHIM	6-9
ALVAN ADAMS	6-9
ZELMO BEATY	6-9
LARRY BIRD	6-9
JOHN BLOCK	6-9
CARLOS BOOZER	6-9
TOM CHAMBERS	6-9
DAVE COWENS	6-9
TERRY CUMMINGS	6-9
ANTONIO DAVIS	6-9
KEVIN DURANT	6-9
LARRY FOUST	6-9
A. C. GREEN	6-9
ELVIN HAYES	6-9
TYRONE HILL	6-9
JUWAN HOWARD	6-9
DAN ISSEL	6-9
LUKE JACKSON	6-9
MAGIC JOHNSON	6-9
BOBBY JONES	6-9
LARRY KENON	6-9
JOHN KERR	6-9
ANDREI KIRILENKO	6-9
DAVID LEE	6-9
CLYDE LOVELLETTE	6-9
MAURICE LUCAS	6-9
KARL MALONE	6-9
KENYON MARTIN	6-9
BOB McADOO	6-9
ANTONIO McDYESS	6-9
ZACK RANDOLPH	6-9
WILLIS REED	6-9
ARNIE RISEN	6-9
RED ROCHA	6-9
BOB RULE	6-9
BILL RUSSELL	6-9
DETLEF SCHREMPF	6-9
KENNY SEARS	6-9
PREDRAG STOJAKOVIC	6-9
OTIS THORPE	6-9
BEN WALLACE	6-9
CHRIS WEBBER	6-9
DAVID WEST	6-9
JAYSON WILLIAMS	6-9
CARMELO ANTHONY	6-8
BOB BOOZER	6-8
ELTON BRAND	6-8
LEN CHAPPELL	6-8
LUOL DENG	6-8
SEAN ELLIOTT	6-8
WAYNE EMBRY	6-8
PAUL GEORGE	6-8
DANNY GRANGER	6-8
CONNIE HAWKINS	6-8
SPENCER HAYWOOD	6-8
GRANT HILL	6-8
LEBRON JAMES	6-8
ANTAWN JAMISON	6-8
JOE JOHNSON	6-8
NEIL JOHNSTON	6-8
BOB KAUFFMAN	6-8
BOB LOVE	6-8
JERRY LUCAS	6-8
ED MACAULEY	6-8
JAMAL MASHBURN	6-8
GEORGE McGINNIS	6-8
TRACY McGRADY	6-8
PAUL MILLSAP	6-8
CHARLES OAKLEY	6-8
BOB PETTIT	6-8
DAN ROUNDFIELD	6-8
CAMPY RUSSELL	6-8
LONNIE SHELTON	6-8
RUDY TOMJANOVICH	6-8
KIKI VANDEWEGHE	6-8
ANTOINE WALKER	6-8
KERMIT WASHINGTON	6-8
SIDNEY WICKS	6-8
BUCK WILLIAMS	6-8
RICK BARRY	6-7
CARON BUTLER	6-7
JIMMY BUTLER	6-7
VINCE CARTER	6-7
JACK COLEMAN	6-7
DEMAR DEROZAN	6-7
TERRY DISCHINGER	6-7
CLYDE DREXLER	6-7
DALE ELLIS	6-7
ALEX ENGLISH	6-7
MICHAEL FINLEY	6-7
GEORGE GERVIN	6-7
DRAYMOND GREEN	6-7
ALEX GROZA	6-7
ANFERNEE HARDAWAY	6-7
TOM HEINSOHN	6-7
JOSH HOWARD	6-7
BAILEY HOWELL	6-7
JOHN JOHNSON	6-7
MARQUES JOHNSON	6-7
BERNARD KING	6-7
KYLE KORVER	6-7
RUDY LaRUSSO	6-7
KAWHI LEONARD	6-7
REGGIE LEWIS	6-7
JACK MARIN	6-7
SHAWN MARION	6-7
ANTHONY MASON	6-7
XAVIER McDANIEL	6-7
VERN MIKKELSEN	6-7
REGGIE MILLER	6-7
MIKE MITCHELL	6-7
STEVE MIX	6-7
SCOTTIE PIPPEN	6-7
GLEN RICE	6-7
GLENN ROBINSON	6-7
TRUCK ROBINSON	6-7
DENNIS RODMAN	6-7
CURTIS ROWE	6-7
WOODY SAULDSBERRY	6-7
DOLPH SCHAYES	6-7
LEE SHAFFER	6-7
PAUL SILAS	6-7
STEVE SMITH	6-7
MAURICE STOKES	6-7
WALLY SZCZERBIAK	6-7
REGGIE THEUS	6-7
KLAY THOMPSON	6-7
WES UNSELD	6-7
GERALD WALLACE	6-7
SCOTT WEDMAN	6-7
DOMINIQUE WILKINS	6-7
JAMES WORTHY	6-7
MARK AGUIRRE	6-6
CHARLES BARKLEY	6-6
DON BARKSDALE	6-6
ROLANDO BLACKMAN	6-6
BILL BRIDGES	6-6
