Date,NewConfirmed,NewSuspected,NewDeath,CurrentConfirmed,CurrentSuspected,TotalDeath
1/16/2020,4,0,1,45,0,2
1/17/2020,17,0,0,62,0,2
1/18/2020,59,0,1,121,0,3
1/19/2020,77,0,1,198,0,4
1/20/2020,77,27,2,291,54,6
1/21/2020,149,26,3,440,37,9
1/22/2020,131,257,8,571,393,17
1/23/2020,259,680,8,830,1072,25
1/24/2020,444,1118,16,1287,1965,41
1/25/2020,688,1309,15,1985,2684,56
1/26/2020,776,3806,24,2761,5794,80
1/27/2020,1774,2077,26,4535,6973,106
1/28/2020,1462,3248,26,5597,9239,132
1/29/2020,1739,4148,38,7736,12167,170
1/30/2020,1985,4812,44,9720,15238,213
1/31/2020,2104,5019,46,11821,17988,259
2/1/2020,2591,4562,45,14411,19544,304
2/2/2020,2831,5173,57,17238,21558,361
2/3/2020,3235,5072,64,20471,23214,425
2/4/2020,3893,3971,66,24363,23260,491
2/5/2020,3697,5328,73,28060,24702,564
2/6/2020,3151,4833,73,31211,26359,637
2/7/2020,3401,4214,86,34598,27657,723
2/8/2020,2657,3916,89,37251,28942,812
2/9/2020,3073,4008,97,40235,23589,909
2/10/2020,2484,3536,108,42708,21675,1017
